"mixture_name","mix_name","mean_weight_pos","mean_weight_neg","imputation_number"
"Metals","lead.t1.res",0.147007915461087,0.162135834584732,8
"Metals","mercury.t1.res",0.00727114822372196,0.492124114922192,8
"Metals","arsenic.t1.res",0.0123536158831274,0.327368773818984,9
"Metals","cadmium.t1.res",0.835842827719552,0.0416600683936337,9
"Metals","lead.t1.res",0.14488873985675,0.155461305491574,9
"Metals","mercury.t1.res",0.00691481654057134,0.475509852295808,9
"Metals","arsenic.t1.res",0.0187487304428631,0.299356912340863,10
"Metals","cadmium.t1.res",0.823136315608736,0.0494553019214791,10
"Metals","lead.t1.res",0.152248041540261,0.161044603676459,10
"Metals","mercury.t1.res",0.00586691240814085,0.490143182061199,10
"OC Pesticides","bbhc.t1.res",0.249057320451456,0.45792872487077,1
"OC Pesticides","dde.t1.res",0.253907129880267,0.159344214762804,1
"OC Pesticides","oxychlor.t1.res",0.185451855932574,0.230110409211171,1
"OC Pesticides","transnona.t1.res",0.311583693735703,0.152616651155255,1
"OC Pesticides","bbhc.t1.res",0.564781055955946,0.181381309309208,2
"OC Pesticides","dde.t1.res",0.221121191105874,0.161168972343088,2
"OC Pesticides","oxychlor.t1.res",0.11307873171613,0.312641965447201,2
"OC Pesticides","transnona.t1.res",0.101019021222049,0.344807752900503,2
"OC Pesticides","bbhc.t1.res",0.0534932921090099,0.625376167634943,3
"OC Pesticides","dde.t1.res",0.595690063460135,0.0801222770358596,3
"OC Pesticides","oxychlor.t1.res",0.0606965305376521,0.251807588725216,3
"OC Pesticides","transnona.t1.res",0.290120113893203,0.0426939666039815,3
"OC Pesticides","bbhc.t1.res",0.0659347261413276,0.366114693437435,4
"OC Pesticides","dde.t1.res",0.0259233991808373,0.45849637308996,4
"OC Pesticides","oxychlor.t1.res",0.366899512182038,0.111776062708873,4
"OC Pesticides","transnona.t1.res",0.541242362495797,0.0636128707637315,4
"OC Pesticides","bbhc.t1.res",0.166806831107058,0.341904899651023,5
"OC Pesticides","dde.t1.res",0.0812861594609097,0.413413531121891,5
"OC Pesticides","oxychlor.t1.res",0.357742617788767,0.162141325474741,5
