"mixture_name","mix_name","mean_weight_pos","mean_weight_neg","imputation_number"
"OC Pesticides","dde.t1.res",0.0889510762160419,0.197727039115204,4
"OC Pesticides","oxychlor.t1.res",0.0470989293673523,0.406404055997779,4
"OC Pesticides","transnona.t1.res",0.78554254498478,0.00441582618146955,4
"OC Pesticides","bbhc.t1.res",0.0462280080703655,0.616896302820052,5
"OC Pesticides","dde.t1.res",0.0626449146126997,0.220512602491703,5
"OC Pesticides","oxychlor.t1.res",0.0796610917298983,0.153247703608701,5
"OC Pesticides","transnona.t1.res",0.811465985587037,0.00934339107954416,5
"OC Pesticides","bbhc.t1.res",0.247571120664501,0.283640105923347,6
"OC Pesticides","dde.t1.res",0.0951057374057222,0.223982713356337,6
"OC Pesticides","oxychlor.t1.res",0.038127877886227,0.476918439232887,6
"OC Pesticides","transnona.t1.res",0.619195264043549,0.015458741487429,6
"OC Pesticides","bbhc.t1.res",0.494186458331753,0.220112446179481,7
"OC Pesticides","dde.t1.res",0.053097533330015,0.333255464748442,7
"OC Pesticides","oxychlor.t1.res",0.0674467124364813,0.378670029671399,7
"OC Pesticides","transnona.t1.res",0.385269295901751,0.0679620594006784,7
"OC Pesticides","bbhc.t1.res",0.0549241222462142,0.422997181384697,8
"OC Pesticides","dde.t1.res",0.438070810849142,0.0308260634877819,8
"OC Pesticides","oxychlor.t1.res",0.0231181596780543,0.542325428665336,8
"OC Pesticides","transnona.t1.res",0.48388690722659,0.00385132646218539,8
"OC Pesticides","bbhc.t1.res",0.113384181123703,0.35738039377104,9
"OC Pesticides","dde.t1.res",0.42074879249539,0.154770793300213,9
"OC Pesticides","oxychlor.t1.res",0.10941456971336,0.429021574682258,9
"OC Pesticides","transnona.t1.res",0.356452456667548,0.0588272382464896,9
"OC Pesticides","bbhc.t1.res",0.128191090728454,0.385382103053221,10
"OC Pesticides","dde.t1.res",0.475196433340687,0.118923458310611,10
"OC Pesticides","oxychlor.t1.res",0.0342152056951989,0.468237743558683,10
"OC Pesticides","transnona.t1.res",0.36239727023566,0.0274566950774851,10
"PFAS","pfhxs.t1.res",0.930281164826546,0.00340249810483365,1
"PFAS","pfos.t1.res",0.00851170034253587,0.661873397620569,1
"PFAS","pfoa.t1.res",0.0612071348309179,0.334724104274597,1
"PFAS","pfhxs.t1.res",0.961965950281262,0.000838451625874961,2
"PFAS","pfos.t1.res",0.00824464872073367,0.48165468456615,2
"PFAS","pfoa.t1.res",0.0297894009980045,0.517506863807975,2
"PFAS","pfhxs.t1.res",0.961395933969642,0.000545843476941283,3
"PFAS","pfos.t1.res",0.00342628639430834,0.665812638559196,3
"PFAS","pfoa.t1.res",0.0351777796360497,0.333641517963862,3
"PFAS","pfhxs.t1.res",0.964716505949885,0.000836771046656786,4
"PFAS","pfos.t1.res",0.00595468693927293,0.583649376348016,4
"PFAS","pfoa.t1.res",0.0293288071108425,0.415513852605328,4
"PFAS","pfhxs.t1.res",0.966501431812896,0.00242743679025817,5
"PFAS","pfos.t1.res",0.0086101953904379,0.494704528705077,5
"PFAS","pfoa.t1.res",0.0248883727966661,0.502868034504665,5
"PFAS","pfhxs.t1.res",0.965204062109165,0.000357576131434456,6
"PFAS","pfos.t1.res",0.00562553206901542,0.577935681755173,6
"PFAS","pfoa.t1.res",0.0291704058218194,0.421706742113393,6
"PFAS","pfhxs.t1.res",0.967571165090377,0.00147859282818737,7
"PFAS","pfos.t1.res",0.00461355663577115,0.597312680714627,7
"PFAS","pfoa.t1.res",0.0278152782738518,0.401208726457186,7
"PFAS","pfhxs.t1.res",0.958813267967346,0.0010195064226667,8
"PFAS","pfos.t1.res",0.00444661086828352,0.635943645363187,8
"PFAS","pfoa.t1.res",0.0367401211643707,0.363036848214146,8
"PFAS","pfhxs.t1.res",0.94636665247967,0.00155077882664954,9
"PFAS","pfos.t1.res",0.00519113752280981,0.729013758959914,9
"PFAS","pfoa.t1.res",0.0484422099975201,0.269435462213437,9
"PFAS","pfhxs.t1.res",0.958449436708904,0.000629796982023601,10
