"mixture_name","name","weight","mod_var_name","mod_level","imputation_number"
"OC Pesticides","transnona.t1.res",0.702342110842663,"fol.intake3",3,6
"OC Pesticides","bbhc.t1.res",-0.0367306126987624,"fol.intake3",1,7
"OC Pesticides","dde.t1.res",0.787995721134114,"fol.intake3",1,7
"OC Pesticides","oxychlor.t1.res",0.212004278865886,"fol.intake3",1,7
"OC Pesticides","transnona.t1.res",-0.963269387301238,"fol.intake3",1,7
"OC Pesticides","bbhc.t1.res",-0.53166438616655,"fol.intake3",2,7
"OC Pesticides","dde.t1.res",1,"fol.intake3",2,7
"OC Pesticides","oxychlor.t1.res",-0.280983524961995,"fol.intake3",2,7
"OC Pesticides","transnona.t1.res",-0.187352088871455,"fol.intake3",2,7
"OC Pesticides","bbhc.t1.res",0.0388207179025455,"fol.intake3",3,7
"OC Pesticides","dde.t1.res",0.22747245191453,"fol.intake3",3,7
"OC Pesticides","oxychlor.t1.res",-1,"fol.intake3",3,7
"OC Pesticides","transnona.t1.res",0.733706830182924,"fol.intake3",3,7
"OC Pesticides","bbhc.t1.res",0.0223563593389027,"fol.intake3",1,8
"OC Pesticides","dde.t1.res",0.77632071070001,"fol.intake3",1,8
"OC Pesticides","oxychlor.t1.res",0.201322929961088,"fol.intake3",1,8
"OC Pesticides","transnona.t1.res",-1,"fol.intake3",1,8
"OC Pesticides","bbhc.t1.res",-0.225339123728378,"fol.intake3",2,8
"OC Pesticides","dde.t1.res",-0.0422403699585382,"fol.intake3",2,8
"OC Pesticides","oxychlor.t1.res",-0.732420506313084,"fol.intake3",2,8
"OC Pesticides","transnona.t1.res",1,"fol.intake3",2,8
"OC Pesticides","bbhc.t1.res",0.0409439653335956,"fol.intake3",3,8
"OC Pesticides","dde.t1.res",0.0129067598110353,"fol.intake3",3,8
"OC Pesticides","oxychlor.t1.res",-1,"fol.intake3",3,8
"OC Pesticides","transnona.t1.res",0.946149274855369,"fol.intake3",3,8
"OC Pesticides","bbhc.t1.res",-0.0364419572372665,"fol.intake3",1,9
"OC Pesticides","dde.t1.res",0.735333546478737,"fol.intake3",1,9
"OC Pesticides","oxychlor.t1.res",0.264666453521263,"fol.intake3",1,9
"OC Pesticides","transnona.t1.res",-0.963558042762733,"fol.intake3",1,9
"OC Pesticides","bbhc.t1.res",-0.443685979140797,"fol.intake3",2,9
"OC Pesticides","dde.t1.res",-0.0998896189703334,"fol.intake3",2,9
"OC Pesticides","oxychlor.t1.res",-0.45642440188887,"fol.intake3",2,9
"OC Pesticides","transnona.t1.res",1,"fol.intake3",2,9
"OC Pesticides","bbhc.t1.res",-0.0185825465168738,"fol.intake3",3,9
"OC Pesticides","dde.t1.res",0.112442757394985,"fol.intake3",3,9
"OC Pesticides","oxychlor.t1.res",-0.981417453483126,"fol.intake3",3,9
"OC Pesticides","transnona.t1.res",0.887557242605015,"fol.intake3",3,9
"OC Pesticides","bbhc.t1.res",-0.0345362228101509,"fol.intake3",1,10
"OC Pesticides","dde.t1.res",0.741224561752983,"fol.intake3",1,10
"OC Pesticides","oxychlor.t1.res",0.258775438247017,"fol.intake3",1,10
"OC Pesticides","transnona.t1.res",-0.965463777189849,"fol.intake3",1,10
"OC Pesticides","bbhc.t1.res",-0.182118558688866,"fol.intake3",2,10
"OC Pesticides","dde.t1.res",0.453907199315772,"fol.intake3",2,10
"OC Pesticides","oxychlor.t1.res",-0.817881441311134,"fol.intake3",2,10
"OC Pesticides","transnona.t1.res",0.546092800684228,"fol.intake3",2,10
"OC Pesticides","bbhc.t1.res",0.0526809466830402,"fol.intake3",3,10
"OC Pesticides","dde.t1.res",0.0150436957840139,"fol.intake3",3,10
"OC Pesticides","oxychlor.t1.res",-1,"fol.intake3",3,10
"OC Pesticides","transnona.t1.res",0.932275357532946,"fol.intake3",3,10
"PFAS","pfhxs.t1.res",-0.586027262329912,"fol.intake3",1,1
"PFAS","pfos.t1.res",1,"fol.intake3",1,1
"PFAS","pfoa.t1.res",-0.413972737670088,"fol.intake3",1,1
"PFAS","pfhxs.t1.res",1,"fol.intake3",2,1
"PFAS","pfos.t1.res",-0.623629008743106,"fol.intake3",2,1
"PFAS","pfoa.t1.res",-0.376370991256894,"fol.intake3",2,1
"PFAS","pfhxs.t1.res",1,"fol.intake3",3,1
"PFAS","pfos.t1.res",-0.460844321361631,"fol.intake3",3,1
"PFAS","pfoa.t1.res",-0.53915567863837,"fol.intake3",3,1
"PFAS","pfhxs.t1.res",-0.596761483780375,"fol.intake3",1,2
"PFAS","pfos.t1.res",1,"fol.intake3",1,2
"PFAS","pfoa.t1.res",-0.403238516219625,"fol.intake3",1,2
"PFAS","pfhxs.t1.res",1,"fol.intake3",2,2
"PFAS","pfos.t1.res",-0.613527378041969,"fol.intake3",2,2
"PFAS","pfoa.t1.res",-0.386472621958031,"fol.intake3",2,2
"PFAS","pfhxs.t1.res",1,"fol.intake3",3,2
"PFAS","pfos.t1.res",-0.544593761114151,"fol.intake3",3,2
"PFAS","pfoa.t1.res",-0.455406238885849,"fol.intake3",3,2
"PFAS","pfhxs.t1.res",-0.631870775620844,"fol.intake3",1,3
"PFAS","pfos.t1.res",1,"fol.intake3",1,3
"PFAS","pfoa.t1.res",-0.368129224379156,"fol.intake3",1,3
"PFAS","pfhxs.t1.res",1,"fol.intake3",2,3
"PFAS","pfos.t1.res",-0.637811258437655,"fol.intake3",2,3
"PFAS","pfoa.t1.res",-0.362188741562345,"fol.intake3",2,3
"PFAS","pfhxs.t1.res",1,"fol.intake3",3,3
"PFAS","pfos.t1.res",-0.476564102455693,"fol.intake3",3,3
"PFAS","pfoa.t1.res",-0.523435897544307,"fol.intake3",3,3
"PFAS","pfhxs.t1.res",-0.584637518353734,"fol.intake3",1,4
"PFAS","pfos.t1.res",1,"fol.intake3",1,4
"PFAS","pfoa.t1.res",-0.415362481646266,"fol.intake3",1,4
"PFAS","pfhxs.t1.res",1,"fol.intake3",2,4
"PFAS","pfos.t1.res",-0.615336624293731,"fol.intake3",2,4
"PFAS","pfoa.t1.res",-0.384663375706269,"fol.intake3",2,4
"PFAS","pfhxs.t1.res",1,"fol.intake3",3,4
"PFAS","pfos.t1.res",-0.513754104460372,"fol.intake3",3,4
"PFAS","pfoa.t1.res",-0.486245895539628,"fol.intake3",3,4
"PFAS","pfhxs.t1.res",-0.564390887638339,"fol.intake3",1,5
"PFAS","pfos.t1.res",1,"fol.intake3",1,5
